FSSLTDE2,FSGRINC,FSASSET,FSNETINC,FSTOTDED,REALPROP,RAWERND,FSTOTDE2,CERTHHSZ,FSWAGES,TANF_IND,FSERNDED,TPOV,FSEARN,RAWNET,FSDIS,FSUSIZE,FYWGT,FSNELDER,FSSSI,FSTANF,FSNONCIT,LIQRESOR,FSUNEARN,WRK_POOR,FSSTDDE2,SHELDED,FSSLTDED,FSGA,FSERNDE2,CAT_ELIG,VEHICLEA,FSVEHAST
250.0,1150.0,0.0,714.0,436.0,0.0,0.0,436.0,7.0,0.0,1.0,0.0,46.0,0.0,714.0,1.0,7.0,85.7908142180937,0.0,523.0,294.0,1.0,0.0,1150.0,0.0,279.0,250.0,250.0,0.0,0.0,1.0,1.0,0.0
0.0,100.0,0.0,0.0,134.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,58.78344135535034,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
337.0,623.0,2.0,152.0,471.0,0.0,0.0,471.0,1.0,0.0,0.0,0.0,76.0,0.0,151.0,1.0,1.0,63.470436740586045,0.0,25.0,0.0,0.0,2.0,623.0,0.0,201.0,337.0,337.0,0.0,0.0,1.0,1.0,0.0
417.0,1557.0,0.0,647.0,910.0,0.0,246.0,910.0,5.0,1231.0,1.0,246.0,80.0,1231.0,647.0,0.0,5.0,79.86003458571524,0.0,0.0,326.0,0.0,0.0,326.0,1.0,162.0,417.0,417.0,0.0,274.0,1.0,1.0,0.0
97.0,231.0,0.0,0.0,551.0,0.0,0.0,231.0,1.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,1.0,59.30464124673775,0.0,0.0,231.0,0.0,0.0,231.0,0.0,0.0,417.0,417.0,0.0,0.0,1.0,1.0,0.0
0.0,231.0,0.0,97.0,134.0,0.0,0.0,134.0,1.0,0.0,0.0,0.0,28.0,0.0,97.0,0.0,1.0,61.93090362247162,0.0,0.0,0.0,0.0,0.0,231.0,0.0,134.0,0.0,0.0,231.0,0.0,1.0,1.0,0.0
0.0,1296.0,0.0,898.0,398.0,0.0,260.0,398.0,4.0,1296.0,0.0,259.0,78.0,1296.0,900.0,0.0,4.0,84.27534765594369,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139.0,0.0,0.0,0.0,259.0,0.0,1.0,0.0
349.0,750.0,0.0,267.0,483.0,0.0,0.0,483.0,1.0,0.0,0.0,0.0,92.0,0.0,268.0,0.0,1.0,66.5495029755386,0.0,0.0,0.0,0.0,0.0,750.0,0.0,201.0,348.0,349.0,0.0,0.0,0.0,1.0,0.0
64.0,603.0,0.0,405.0,198.0,0.0,0.0,198.0,1.0,0.0,0.0,0.0,74.0,0.0,405.0,0.0,1.0,70.35305538345791,1.0,603.0,0.0,0.0,0.0,603.0,0.0,198.0,65.0,64.0,0.0,0.0,1.0,1.0,0.0
165.0,603.0,948.0,304.0,299.0,0.0,0.0,299.0,1.0,0.0,0.0,0.0,74.0,0.0,303.0,1.0,1.0,67.5456714634289,0.0,603.0,0.0,0.0,948.0,603.0,0.0,201.0,165.0,165.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59.30464124673775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104.0,389.0,0.0,151.0,238.0,0.0,0.0,238.0,2.0,0.0,1.0,0.0,35.0,0.0,150.0,0.0,2.0,62.858676078529406,0.0,0.0,389.0,0.0,0.0,389.0,0.0,201.0,104.0,104.0,0.0,0.0,1.0,1.0,0.0
85.0,1290.0,403.0,808.0,482.0,0.0,258.0,482.0,4.0,1290.0,0.0,258.0,77.0,1290.0,807.0,0.0,4.0,81.83020682291705,0.0,0.0,0.0,0.0,403.0,0.0,1.0,208.0,85.0,85.0,0.0,343.0,0.0,1.0,0.0
417.0,1268.0,0.0,495.0,773.0,0.0,223.0,773.0,3.0,1113.0,0.0,222.0,92.0,1113.0,495.0,0.0,3.0,72.20860029307231,0.0,0.0,0.0,0.0,0.0,155.0,1.0,142.0,417.0,417.0,0.0,274.0,0.0,1.0,0.0
387.0,812.0,0.0,0.0,842.0,0.0,162.0,812.0,1.0,812.0,0.0,162.0,99.0,812.0,0.0,0.0,1.0,59.30464124673775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,170.0,417.0,417.0,0.0,212.0,0.0,1.0,0.0
228.0,1041.0,0.0,549.0,492.0,0.0,118.0,492.0,1.0,589.0,0.0,117.0,127.0,589.0,547.0,1.0,1.0,72.43595313013408,0.0,95.0,0.0,0.0,0.0,452.0,1.0,201.0,229.0,228.0,0.0,175.0,1.0,1.0,0.0
0.0,389.0,0.0,255.0,134.0,0.0,0.0,134.0,3.0,0.0,1.0,0.0,28.0,0.0,255.0,0.0,3.0,65.68822473667801,0.0,0.0,389.0,0.0,0.0,389.0,0.0,134.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59.30464124673775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
417.0,852.0,0.0,126.0,726.0,0.0,170.0,726.0,4.0,852.0,0.0,170.0,51.0,852.0,125.0,0.0,4.0,63.35580941344643,0.0,0.0,0.0,2.0,0.0,0.0,1.0,139.0,417.0,417.0,0.0,170.0,0.0,1.0,0.0
0.0,170.0,0.0,0.0,611.0,0.0,0.0,170.0,3.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,3.0,58.715045322566574,0.0,0.0,120.0,0.0,0.0,170.0,0.0,0.0,417.0,417.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59.30464124673775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,579.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,62.29124489327322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,417.0,0.0,0.0,0.0,1.0,0.0
114.0,630.0,0.0,279.0,351.0,0.0,103.0,351.0,2.0,516.0,1.0,103.0,57.0,516.0,278.0,0.0,2.0,66.39054617048151,0.0,0.0,114.0,0.0,0.0,114.0,1.0,201.0,115.0,114.0,0.0,154.0,1.0,1.0,0.0
0.0,231.0,0.0,97.0,134.0,0.0,0.0,134.0,1.0,0.0,0.0,0.0,28.0,0.0,97.0,0.0,1.0,61.93090362247162,0.0,0.0,0.0,0.0,0.0,231.0,0.0,134.0,0.0,0.0,231.0,0.0,1.0,1.0,0.0
163.0,1226.0,0.0,574.0,652.0,0.0,183.0,652.0,2.0,916.0,1.0,183.0,111.0,916.0,573.0,0.0,2.0,74.35989407230755,0.0,0.0,310.0,0.0,0.0,310.0,1.0,201.0,164.0,163.0,0.0,274.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,58.78344135535036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,417.0,0.0,0.0,0.0,1.0,0.0
0.0,1015.0,0.0,678.0,337.0,0.0,203.0,337.0,2.0,1015.0,0.0,203.0,92.0,1015.0,678.0,0.0,2.0,77.16727799280893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,0.0,0.0,0.0,203.0,0.0,1.0,0.0
0.0,231.0,0.0,97.0,134.0,0.0,0.0,134.0,1.0,0.0,0.0,0.0,28.0,0.0,97.0,0.0,1.0,61.93090362247162,0.0,0.0,0.0,0.0,0.0,231.0,0.0,134.0,0.0,0.0,231.0,0.0,1.0,1.0,0.0
114.0,628.0,0.0,380.0,248.0,0.0,0.0,248.0,1.0,0.0,0.0,0.0,77.0,0.0,380.0,0.0,1.0,69.628569210083,1.0,427.0,0.0,0.0,0.0,628.0,0.0,201.0,114.0,114.0,0.0,0.0,1.0,1.0,0.0
255.0,389.0,0.0,0.0,456.0,0.0,0.0,389.0,3.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,3.0,58.715045322566574,0.0,0.0,389.0,0.0,0.0,389.0,0.0,134.0,322.0,322.0,0.0,0.0,1.0,1.0,0.0
52.0,499.0,0.0,308.0,191.0,0.0,0.0,191.0,4.0,0.0,0.0,0.0,30.0,0.0,308.0,1.0,4.0,68.24609108037818,0.0,0.0,0.0,0.0,0.0,499.0,0.0,191.0,52.0,52.0,0.0,0.0,0.0,1.0,0.0
256.0,636.0,55.0,246.0,390.0,0.0,0.0,390.0,1.0,0.0,0.0,0.0,78.0,0.0,246.0,1.0,1.0,66.00613834510973,0.0,0.0,0.0,0.0,55.0,636.0,0.0,201.0,256.0,256.0,0.0,0.0,0.0,1.0,0.0
417.0,915.0,0.0,308.0,607.0,0.0,0.0,607.0,3.0,0.0,0.0,0.0,66.0,0.0,308.0,0.0,3.0,67.04663631083086,0.0,0.0,0.0,0.0,0.0,915.0,0.0,134.0,417.0,417.0,0.0,0.0,0.0,1.0,0.0
